Game_id,Team,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination,Poste
1,FRA,7,R,R,1,1,1,0,M
1,GER,9,R,C,1,1,2,0,D
1,FRA,6,R,L,1,1,3,0,D
1,GER,2,R,C,1,1,4,0,M
1,FRA,9,R,L,1,1,5,0,A
1,GER,4,R,L,1,0,6,0,M
1,FRA,8,L,L,1,0,7,0,A
1,GER,3,R,R,1,1,8,0,M
1,FRA,9,R,L,1,1,9,0,M
1,GER,9,R,C,1,1,10,1,A
1,FRA,7,R,L,1,0,11,0,D
1,GER,9,R,C,1,1,12,1,A
2,BRA,4,R,L,1,0,1,0,M
2,FRA,2,R,R,1,1,2,0,A
2,BRA,6,R,R,1,1,3,0,M
2,FRA,6,R,R,1,1,4,0,D
2,BRA,8,R,L,1,1,5,0,M
2,FRA,9,L,R,1,1,6,0,A
2,BRA,4,L,R,1,1,7,0,D
2,FRA,1,R,R,0,0,8,0,M
2,BRA,7,R,L,0,0,9,0,D
2,FRA,7,R,R,1,1,10,1,M
3,GER,1,L,R,1,1,1,0,A
3,MEX,6,L,L,1,1,2,0,M
3,GER,8,L,L,1,1,3,0,D
3,MEX,8,R,L,1,0,4,0,D
3,GER,7,R,L,1,1,5,0,M
3,MEX,7,R,L,1,0,6,0,D
3,GER,4,R,L,1,1,7,1,M
3,MEX,,,,,,8,,
3,GER,,,,,,9,,
3,MEX,,,,,,10,,
4,SPA,7,R,R,1,1,1,0,M
4,BEL,9,R,L,1,1,2,0,A
4,SPA,7,R,L,1,0,3,0,A
4,BEL,4,R,R,1,1,4,0,M
4,SPA,1,R,L,1,1,5,0,D
4,BEL,7,R,R,1,1,6,0,D
4,SPA,1,R,L,1,1,7,0,A
4,BEL,5,L,R,1,1,8,0,D
4,SPA,1,R,R,1,1,9,1,M
4,BEL,5,R,L,1,1,10,1,M
5,ROM,3,L,R,1,1,1,0,M
5,IRE,2,L,R,1,1,2,0,M
5,ROM,9,R,R,1,1,3,0,M
5,IRE,9,R,L,1,1,4,0,M
